feature,Mean_Oxygen,Mean_Oxygen_qval,log_PO4,log_PO4_qval,log_NO2NO3,log_NO2NO3_qval,sqrt_iron,sqrt_iron_qval,log_depth,log_depth_qval,Mean_Temperature,Mean_Temperature_qval,Mean_Salinity,Mean_Salinity_qval,size_fraction,size_fraction_qval,Absolute_Latitude,Absolute_Latitude_qval
COG3831,not_significant,0.281961838473929,not_significant,0.995865211834902,not_significant,0.707490438176515,not_significant,0.7936610218587,not_significant,0.0972354327127571,not_significant,0.630631928482735,not_significant,0.467122066812616,positive,0.0167926865565846,not_significant,0.642446337830448
COG3832,not_significant,0.662583577858951,not_significant,0.873051820567338,not_significant,0.182306195881441,not_significant,0.94855097292716,not_significant,0.0835874602385144,not_significant,0.50171446277586,not_significant,0.247886334114559,not_significant,0.0631973502946884,not_significant,0.0848810528439248
COG3833,not_significant,0.334544146875897,not_significant,0.0738191457353658,not_significant,0.395643425673154,not_significant,0.875871753051743,not_significant,0.934135692873915,not_significant,0.168795058061608,not_significant,0.946024752606857,not_significant,0.882849982235007,not_significant,0.420786281947736
COG3835,not_significant,0.716009247215494,not_significant,0.0689891913641492,not_significant,0.164965382789804,not_significant,0.381555577979538,not_significant,0.0762615477826582,not_significant,0.768501808225721,not_significant,0.813387071577908,not_significant,0.161404818901721,not_significant,0.302019806421638
COG3836,not_significant,0.276702627348079,not_significant,0.985208248802312,not_significant,0.633144887957817,not_significant,0.408515655073638,positive,0.00479145078557364,not_significant,0.06886755448707,positive,0.0210707362463403,not_significant,0.328061990758612,not_significant,0.103933597302644
COG3837,not_significant,0.0887124869208632,not_significant,0.525956683297513,not_significant,0.568903262906125,not_significant,0.178936545903888,not_significant,0.162553244494493,not_significant,0.975127838921289,not_significant,0.948119369879445,not_significant,0.946917396298689,not_significant,0.414092382105213
COG3838,not_significant,0.384730040158688,not_significant,0.766571740589287,not_significant,0.872192573237413,not_significant,0.903009218469103,positive,0.00227625129678294,not_significant,0.254696529428152,not_significant,0.859427935355456,not_significant,0.166353616383305,not_significant,0.98840109785445
COG3839,not_significant,0.24739307439929,not_significant,0.385558370998622,not_significant,0.543182663404428,positive,0.00250268359545982,not_significant,0.200042442977198,not_significant,0.562465302816096,negative,0.0317183646429472,not_significant,0.999146992360487,not_significant,0.456646835952275
COG3840,not_significant,0.0663322791156975,not_significant,0.925439729371584,not_significant,0.310441793531494,positive,0.031826081785455,not_significant,0.177197848622492,not_significant,0.361715743386738,not_significant,0.0757372061452845,not_significant,0.277447724930733,not_significant,0.17477072694817
COG3842,not_significant,0.734109240276159,not_significant,0.258776189545725,not_significant,0.342108405093778,not_significant,0.998383032050317,not_significant,0.103913363301043,not_significant,0.73087141059831,not_significant,0.429291066150199,not_significant,0.796515122438548,not_significant,0.322671869179258
COG3843,not_significant,0.343357443290079,not_significant,0.92969353628335,not_significant,0.949401230137568,not_significant,0.990275181420437,positive,0.0180480609856759,not_significant,0.317423567033193,not_significant,0.805847689475283,not_significant,0.0766012767264255,not_significant,0.937899260474703
COG3844,not_significant,0.643536700624314,positive,0.0131981439011409,not_significant,0.138364365714283,positive,0.00351753077574548,not_significant,0.0541077166074602,not_significant,0.516028789959178,not_significant,0.809645695828818,positive,0.0346007503294836,not_significant,0.846893667048313
COG3845,not_significant,0.742404349552326,not_significant,0.742713315299553,not_significant,0.0972537597417773,not_significant,0.397738247612841,not_significant,0.735227554218088,not_significant,0.592686816945625,not_significant,0.951656600073873,not_significant,0.539029667281331,not_significant,0.85106860070664
COG3846,not_significant,0.389154851381404,not_significant,0.82725026353908,not_significant,0.994657740350829,not_significant,0.889326420000709,positive,0.00667348944846449,not_significant,0.197009876273099,not_significant,0.551473179882775,not_significant,0.0830359733770802,not_significant,0.972883778550925
COG3847,not_significant,0.39726121923148,not_significant,0.072178370841835,not_significant,0.183156336189923,not_significant,0.523416877853144,not_significant,0.369121999069115,not_significant,0.991407643171993,not_significant,0.116775937531924,positive,0.00876163883801591,not_significant,0.732798342028501
COG3848,not_significant,0.140441312937731,not_significant,0.998163402851595,not_significant,0.992149686138944,not_significant,0.360724832462222,not_significant,0.462865240504109,not_significant,0.79287724219304,not_significant,0.637180613153895,not_significant,0.171943965499413,not_significant,0.953674237721689
COG3850,negative,0.00718237519085921,not_significant,0.128739141681248,not_significant,0.869388691615507,not_significant,0.539958947456838,positive,0.0424300240198382,not_significant,0.505525336324179,not_significant,0.408327027482459,not_significant,0.161966571133298,not_significant,0.0510568083459855
COG3851,not_significant,0.581617377993815,not_significant,0.15051878656115,not_significant,0.865825969273589,positive,0.0250629114381311,not_significant,0.402416446864174,not_significant,0.89843179236872,not_significant,0.0536081292748524,not_significant,0.517517162213462,not_significant,0.46022256713575
COG3852,positive,0.0194483962922152,not_significant,0.419426609719568,not_significant,0.9386271720188,not_significant,0.888209169207703,negative,0.0102729201008666,not_significant,0.0745753028359881,not_significant,0.802430450110846,not_significant,0.0526632002383385,not_significant,0.397328287484081
COG3853,not_significant,0.979575770844277,not_significant,0.602873415206725,not_significant,0.722576316361485,not_significant,0.428413641008753,not_significant,0.051787066016361,not_significant,0.301581472327171,not_significant,0.394195672252275,not_significant,0.664629881179134,not_significant,0.773609243969117
COG3854,not_significant,0.396981723246711,not_significant,0.564487461339617,not_significant,0.857912988057461,positive,0.013340336525063,not_significant,0.0718409445508396,positive,0.0346385536776664,not_significant,0.260993166744411,positive,0.0105626587547511,not_significant,0.179737472858518
COG3855,not_significant,0.324137378014561,not_significant,0.826831729365756,not_significant,0.954523301435036,not_significant,0.728498757747217,positive,0.00267628289909771,not_significant,0.403884303670449,not_significant,0.660108976904568,not_significant,0.89683656761461406,not_significant,0.471179312577995
COG3856,not_significant,0.758416841708883,not_significant,0.652781805571694,not_significant,0.205232544177128,not_significant,0.996100442317429,not_significant,0.525794221670586,not_significant,0.293027901124829,not_significant,0.956910453340625,not_significant,0.564248033914473,not_significant,0.103624216498671
COG3857,negative,1.93823551667484e-6,not_significant,0.639222191103296,not_significant,0.327660071882891,not_significant,0.807692978466682,not_significant,0.230810216653845,not_significant,0.878528095819548,not_significant,0.72404265607886,not_significant,0.174306593845215,not_significant,0.819593996431717
COG3858,negative,0.0215754578717229,not_significant,0.473961973075743,not_significant,0.829570521331907,not_significant,0.705647308050912,positive,0.00812554789596951,not_significant,0.203707348483953,not_significant,0.162668065454126,not_significant,0.950248411183969,not_significant,0.692578261711435
COG3861,not_significant,0.807307060995714,negative,0.00138120310411555,not_significant,0.932775765230063,not_significant,0.137144033404335,not_significant,0.646664349370281,not_significant,0.356235510493458,not_significant,0.894133995437959,not_significant,0.546085638723383,not_significant,0.482324929765461
COG3864,not_significant,0.916081062703791,not_significant,0.647189441898693,not_significant,0.319950076787636,not_significant,0.456671381609681,not_significant,0.483275968163103,not_significant,0.67212072303863,not_significant,0.848984006155755,negative,0.0353584023093236,not_significant,0.222341870170843
COG3865,not_significant,0.463200250028454,positive,0.0355025364946297,not_significant,0.781934417834868,positive,0.00509074366072867,positive,0.00610363466391352,not_significant,0.0528808274195907,positive,0.0162668924814408,positive,5.2586359331227e-4,not_significant,0.846792322642177
COG3866,negative,0.0496451033214051,not_significant,0.864255370234298,not_significant,0.869043165434552,not_significant,0.687391879715073,not_significant,0.0616455264302339,not_significant,0.863305581571051,not_significant,0.34501336776108,not_significant,0.216774287508077,not_significant,0.508287642964926
COG3867,not_significant,0.088202828559228,not_significant,0.954614336250612,not_significant,0.219755885784747,not_significant,0.0629850503684649,not_significant,0.912843696964988,not_significant,0.774413907801148,not_significant,0.898378775702509,positive,5.6175508168003e-4,not_significant,0.708251016881465
COG3868,not_significant,0.953861937369868,positive,0.0300649770595566,not_significant,0.188567999159975,not_significant,0.285056094971837,positive,0.0205131207485173,not_significant,0.541100204577545,not_significant,0.969566577380213,not_significant,0.144661249142967,not_significant,0.9653000878185
