genome_count	ncbi_bioproject
      4 PRJNA293375
      4 PRJNA292902
      4 PRJNA287884
      4 PRJNA282732
      4 PRJNA282164
      4 PRJNA280491
      4 PRJNA280335
      4 PRJNA279196
      4 PRJNA276743
      4 PRJNA273983
      4 PRJNA272371
      4 PRJNA258022
      4 PRJNA257723
      4 PRJNA244670
      4 PRJNA222257
      4 PRJNA221622
      4 PRJEB6882
      4 PRJEB39627
      4 PRJEB34793
      4 PRJEB2839
      4 PRJEB27924
      4 PRJEB27680
      4 PRJEB2255
      4 PRJDB7174
      4 PRJDB5665
      4 PRJDB4337
      4 PRJDB10509
      3 PRJNA739367
      3 PRJNA719983
      3 PRJNA705564
      3 PRJNA693803
      3 PRJNA691030
      3 PRJNA684586
      3 PRJNA682333
      3 PRJNA682015
      3 PRJNA679188
      3 PRJNA679166
      3 PRJNA675710
      3 PRJNA674703
      3 PRJNA671808
      3 PRJNA669517
      3 PRJNA669510
      3 PRJNA663411
      3 PRJNA663213
      3 PRJNA662680
      3 PRJNA659938
      3 PRJNA655193
      3 PRJNA644677
      3 PRJNA644254
      3 PRJNA643926
      3 PRJNA641190
      3 PRJNA628866
      3 PRJNA627655
      3 PRJNA626367
      3 PRJNA625873
      3 PRJNA622256
      3 PRJNA616008
      3 PRJNA616006
      3 PRJNA615660
      3 PRJNA615230
      3 PRJNA613619
      3 PRJNA605507
      3 PRJNA595808
      3 PRJNA595034
      3 PRJNA593284
      3 PRJNA589199
      3 PRJNA580263
      3 PRJNA574041
      3 PRJNA566401
      3 PRJNA565789
      3 PRJNA551571
      3 PRJNA551102
      3 PRJNA548918
      3 PRJNA534408
      3 PRJNA531645
      3 PRJNA529480
      3 PRJNA528985
      3 PRJNA521734
      3 PRJNA520746
      3 PRJNA518002
      3 PRJNA518001
      3 PRJNA517992
      3 PRJNA510854
      3 PRJNA509690
      3 PRJNA509633
      3 PRJNA505997
      3 PRJNA495932
      3 PRJNA492953
      3 PRJNA488119
      3 PRJNA482667
      3 PRJNA475438
      3 PRJNA451386
      3 PRJNA451230
      3 PRJNA451179
      3 PRJNA449864
      3 PRJNA445218
      3 PRJNA438699
      3 PRJNA436560
      3 PRJNA436559
      3 PRJNA436557
      3 PRJNA436461
      3 PRJNA436221
      3 PRJNA433735
      3 PRJNA429538
      3 PRJNA428921
      3 PRJNA427764
      3 PRJNA421865
